Term:English,Description:English,Part:English,Term:Afrikaans,Description:Afrikaans,Term:Amharic,Description:Amharic,Term:Arabic,Description:Arabic,Term:Bengali,Description:Bengali,Term:Bengali (India),Description:Bengali (India),Term:Bulgarian,Description:Bulgarian,Term:Catalan,Description:Catalan,Term:Chinese Simplified,Description:Chinese Simplified,Term:Czech,Description:Czech,Term:Danish,Description:Danish,Term:Dutch,Description:Dutch,Term:Finnish,Description:Finnish,Term:French,Description:French,Term:German,Description:German,Term:Greek,Description:Greek,Term:Haitian Creole,Description:Haitian Creole,Term:Hausa,Description:Hausa,Term:Hebrew,Description:Hebrew,Term:Hindi,Description:Hindi,Term:Hungarian,Description:Hungarian,Term:Igbo,Description:Igbo,Term:Indoensian,Description:Indoensian,Term:Italian,Description:Italian,Term:Japanese,Description:Japanese,Term:Korean,Description:Korean,Term:Nepali,Description:Nepali,Term:Norwegian,Description:Norwegian,Term:Oromo,Description:Oromo,Term:Persian,Description:Persian,Term:Polish,Description:Polish,Term:Portuguese,Description:Portuguese,Term:Portuguese (Brazilian),Description:Portuguese (Brazilian),Term:Romanian,Description:Romanian,Term:Russian,Description:Russian,Term:Serbian (Cyrillic),Description:Serbian (Cyrillic),Term:Shona,Description:Shona,Term:Sinhala,Description:Sinhala,Term:Spanish (Modern),Description:Spanish (Modern),Term:Swahili,Description:Swahili,Term:Swedish,Description:Swedish,Term:Telugu,Description:Telugu,Term:Thai,Description:Thai,Term:Turkish,Description:Turkish,Term:Ukranian,Description:Ukranian,Term:Urdu (Pakistan),Description:Urdu (Pakistan),Term:Vietnamese,Description:Vietnamese,Term:Yoruba,Description:Yoruba,Term:Zulu,Description:Zulu
Ali,,NOUN,,,,,,,,,,,Camper Cat,,,,,,,,,,,,,,,,Camper Katze,Charakter von freeCodeCamp,,,,,,,קמפר קאט,דמות של מחנה קוד חינם,,,,,,,,,,,,,,,,,,,,,گربه ی جنگجو,,,,,,,,,,,Котурист,,,,,,,Camper Cat,Character of freeCodeCamp,,,,,,,,,Kampçı Kedi,,Кіт Кампер,,علی,,,,,,,
object,,NOUN,,,,,,,অবজেক্ট,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oggetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,objeto,Lo que tiene entidad ya sea corporal o espiritual natural o artificial concreta abstracta o virtual.,,,,,,,,,,,об'єкт,,,,,,,,,
contrast ratio,,,,,,,,,কন্ট্রাস্টের অনুপাত,,,,,,,,,,,,,,,,,,rapport de contraste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tỉ lệ tương phản,,,,,
background-color,,,,,,,,,ব্যাকগ্রাউণ্ডের রঙ,,,,,,,,,,,,,,,,,,background-color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вообще - цвет фона если это не CSS-параметр,,,,,,,Color de fondo,,,,,,,,,,,,,,,,,,,,,
form control,,NOUN,,,,,,,ফর্ম কন্ট্রোল,,,,,,,,表单部件,,,,,,,,,,widget de formulaire,Source : https://developer.mozilla.org/fr/docs/Learn/Forms/Basic_native_form_controls,,,,,,,,,,,,,,,,,,,,,フォームコントロール,HTMLフォームの入力用の要素 (input、select、button など) を指すとき。カタカナのみでは伝わらないと思われる場合「フォームコントロール (入力フィールド)」と注釈を添える。,,,,,,,,,,,,,,,,,,,,,,,,,,,control de formularios,,,,,,,,,,,,,,,,,,,,,
Best Practice,titre,X,,,,,,,,,,,,,,,,,,,,,,,,,Bonnes pratiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assigned,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,affecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,назначено присвоено,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assigns,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,affecter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You should not change code below the specified comment.,,,,,,,,,,,,,,,,,,,,,,,,,,,Le commentaire montre où commencer ne modifiez pas le code au-dessus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Не следует изменять код ниже указанного комментария.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anchor,"The HTML <a> element (or anchor element) with its href attribute creates a hyperlink to web pages files email addresses locations in the same page or anything else a URL can address. Content within each <a> should indicate the link's destination.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Якорем называется закладка с уникальным именем на определенном месте веб-страницы предназначенная для создания перехода к ней по ссылке. Якоря удобно применять в документах большого объема чтобы можно было быстро переходить к нужному разделу.,,,,,,,ancla (anchor),"anchor
El elemento HTML <a> (o elemento anchor) con su atributo href crea un hipervínculo a páginas web archivos direcciones de correo electrónico ubicaciones en la misma página o cualquier otra cosa que una URL pueda dirigir. El contenido dentro de cada <a> debe indicar el destino del enlace.",,,,,,,,,,,,,,,,,,,,
